cell_id,weighted_population,historical_density,weighted_housing_units,log_density,log_pop,r_j,cluster_label
149,310.4966616692774,0.0007337762433180388,135.71656526878883,0.5503018292694979,5.741388621217521,-0.3904041640921143,2
150,751.2937262982465,0.002103972668187104,345.0472204003575,1.1326827969301123,6.623126841169774,-0.013795950452623273,6
151,1621.2365649123567,0.0021544535891033327,735.3456659011808,1.1488152921205061,7.391561071705453,-0.1769942637985682,6
152,640.1768318050956,0.000686901102467255,343.62377094659905,0.522893178530216,6.463305287526606,-0.5862877399721178,6
153,17.52524583607945,0.0004543282882460584,10.761133445943129,0.374544136463948,2.9191344415977123,0.09247242020040924,1
154,17.5691504677786,0.00012079363219240443,10.789951769810784,0.11403703454022752,2.9215016267564287,-0.16858711576593832,1
155,38.232696793723306,0.00018930345343585767,4.151203625830881,0.1733678025018771,3.6695105010074545,-0.2838204560667259,3
156,4.699892274278773,1.4423120261779633e-05,2.174770291236307,0.014320096497260232,1.7404472754125733,0.007320616898707439,1
157,4.699892274248721,3.2452020589004175e-05,2.1755478718875403,0.031936575610133675,1.7404472754073008,0.02493709601281134,1
158,4.297955623456168,2.7043350490836812e-05,1.967449274442276,0.026684140854827336,1.6673210147212099,0.03675026158212102,1
159,8.193276063190533,0.00014783698268324124,3.6164294278603655,0.13787928666725485,2.2184723541479685,0.019322278182324515,1
160,9.151705731191925,0.00015144276274868616,4.449372463989983,0.1410157323551134,2.3176417437027643,-0.000684605909021696,1
161,4.812384107139424,0.0004633427384096707,2.423572854682022,0.3807233655575445,1.7599908321580409,0.3691629727492856,7
162,5.015111225585666,0.0002794479550719804,2.646198605997218,0.2464286998013424,1.794274840624867,0.2268673893947919,1
163,3.73534521283987,0.00030649130556281717,1.9207985221544537,0.2673451512015591,1.5550546305992519,0.30361106969424806,7
164,12.227315219746718,9.194739166884516e-05,5.419903907112159,0.08796270003477523,2.5822840262974593,-0.11549765961404669,1
165,11.386762182951106,7.211560130889816e-05,5.048331763644597,0.06963389387649703,2.5166283364655935,-0.1185042853244916,1
166,11.953717394585482,0.00018569767337041278,5.302281582461352,0.170331355238597,2.5613828044493747,-0.028251250577211118,1
167,8.571504631484364,0.00019290923350130258,3.80352518847479,0.17639505765748356,2.2587904168770723,0.04842895402749606,1
168,1.0,7.211560130889816e-06,0.0132569664047705,0.007185681175075084,0.6931471805599453,0.24459641305184984,7
169,37.28204601354073,0.00026863061487564563,13.288859834859563,0.23793806273085552,3.6449810137860172,-0.21352570751903263,3
170,131.81469951775316,0.0001262023022905718,47.32664318616412,0.11885117813621317,4.888954920056451,-0.6229209067941288,2
171,122.68107389596418,0.00012439941225784933,37.06162162964819,0.11724903733385388,4.8177062676601174,-0.6078956279246029,2
172,888.9917038179539,0.0006724779822054754,370.8714834131563,0.5143063483329797,6.791212141129879,-0.6713987525190774,6
173,807.9597860816572,0.0016965195207918292,363.4002142677945,0.9919618750761278,6.6957492076421055,-0.1714648779781237,6
174,391.93337833960146,0.0005967566008311323,172.64168577066164,0.4679744473674924,5.973640076734619,-0.5269324647540617,2
175,601.0420872694298,0.0005426698998494587,340.99156764639383,0.4335146165013091,6.400327355272753,-0.6609690344116343,6
176,1936.5439019327343,0.004130421064967142,1013.1482516841152,1.6351877347553496,7.5691764200328455,0.2679277817062429,0
177,1623.4078801202577,0.0018281304931805685,765.540951232161,1.039615890244358,7.392898646896324,-0.2865058178810149,6
